"","x"
"817","magenta"
"818","brown"
"819","blue"
"820","turquoise"
"821","turquoise"
"822","turquoise"
"823","darkturquoise"
"824","pink"
"825","turquoise"
"826","turquoise"
"827","midnightblue"
"828","turquoise"
"829","green"
"830","tan"
"831","yellow"
"832","brown"
"833","turquoise"
"834","blue"
"835","red"
"836","turquoise"
"837","red"
"838","black"
"839","turquoise"
"840","brown"
"841","grey60"
"842","tan"
"843","royalblue"
"844","red"
"845","purple"
"846","turquoise"
"847","blue"
"848","red"
"849","green"
"850","brown"
"851","lightgreen"
"852","purple"
"853","red"
"854","black"
"855","salmon"
"856","turquoise"
"857","brown"
"858","yellow"
"859","red"
"860","black"
"861","yellow"
"862","red"
"863","salmon"
"864","magenta"
"865","purple"
"866","brown"
"867","turquoise"
"868","midnightblue"
"869","cyan"
"870","blue"
"871","red"
"872","purple"
"873","magenta"
"874","blue"
"875","turquoise"
"876","blue"
"877","brown"
"878","purple"
"879","brown"
"880","black"
"881","yellow"
"882","turquoise"
"883","darkturquoise"
"884","blue"
"885","brown"
"886","turquoise"
"887","turquoise"
"888","green"
"889","green"
"890","turquoise"
"891","green"
"892","red"
"893","black"
"894","royalblue"
"895","salmon"
"896","brown"
"897","turquoise"
"898","yellow"
"899","magenta"
"900","blue"
"901","black"
"902","red"
"903","blue"
"904","blue"
"905","black"
"906","red"
"907","greenyellow"
"908","turquoise"
"909","brown"
"910","red"
"911","turquoise"
"912","brown"
"913","turquoise"
"914","brown"
"915","turquoise"
"916","turquoise"
"917","green"
"918","turquoise"
"919","magenta"
"920","turquoise"
"921","magenta"
"922","green"
"923","turquoise"
"924","black"
"925","lightcyan"
"926","brown"
"927","turquoise"
"928","turquoise"
"929","brown"
"930","green"
"931","turquoise"
"932","brown"
"933","turquoise"
"934","pink"
"935","turquoise"
"936","brown"
"937","black"
"938","pink"
"939","green"
"940","purple"
"941","pink"
"942","blue"
"943","blue"
"944","magenta"
"945","black"
"946","blue"
"947","black"
"948","green"
"949","blue"
"950","turquoise"
"951","brown"
"952","yellow"
"953","cyan"
"954","blue"
"955","green"
"956","turquoise"
"957","lightcyan"
"958","greenyellow"
"959","turquoise"
"960","purple"
"961","turquoise"
"962","turquoise"
"963","green"
"964","blue"
"965","purple"
"966","turquoise"
"967","blue"
"968","turquoise"
"969","red"
"970","yellow"
"971","black"
"972","red"
"973","turquoise"
"974","yellow"
"975","yellow"
"976","black"
"977","blue"
"978","purple"
"979","red"
"980","brown"
"981","brown"
"982","blue"
"983","brown"
"984","green"
"985","magenta"
"986","purple"
"987","brown"
"988","red"
"989","red"
"990","brown"
"991","turquoise"
"992","turquoise"
"993","black"
"994","midnightblue"
"995","brown"
"996","green"
"997","midnightblue"
"998","blue"
"999","brown"
"1000","cyan"
"1001","pink"
"1002","darkorange"
"1003","brown"
"1004","brown"
"1005","pink"
"1006","salmon"
"1007","brown"
"1008","green"
"1009","blue"
"1010","purple"
"1011","blue"
"1012","turquoise"
"1013","salmon"
"1014","tan"
"1015","blue"
"1016","brown"
"1017","brown"
"1018","blue"
"1019","red"
"1020","black"
"1021","darkred"
"1022","darkturquoise"
"1023","blue"
"1024","black"
"1025","brown"
"1026","red"
"1027","green"
"1028","blue"
"1029","red"
"1030","blue"
"1031","green"
"1032","brown"
"1033","blue"
"1034","red"
"1035","red"
"1036","turquoise"
"1037","pink"
"1038","royalblue"
"1039","purple"
"1040","yellow"
"1041","pink"
"1042","brown"
"1043","red"
"1044","black"
"1045","brown"
"1046","turquoise"
"1047","turquoise"
"1048","lightgreen"
"1049","yellow"
"1050","turquoise"
"1051","brown"
"1052","green"
"1053","pink"
"1054","red"
"1055","black"
"1056","turquoise"
"1057","darkgrey"
"1058","turquoise"
"1059","tan"
"1060","salmon"
"1061","midnightblue"
"1062","salmon"
"1063","turquoise"
"1064","red"
"1065","black"
"1066","lightyellow"
"1067","turquoise"
"1068","yellow"
"1069","midnightblue"
"1070","cyan"
"1071","blue"
"1072","darkgrey"
"1073","green"
"1074","blue"
"1075","blue"
"1076","pink"
"1077","yellow"
"1078","grey60"
"1079","blue"
"1080","cyan"
"1081","turquoise"
"1082","red"
"1083","brown"
"1084","brown"
"1085","turquoise"
"1086","pink"
"1087","midnightblue"
"1088","blue"
"1089","brown"
"1090","grey"
"1091","black"
"1092","darkgreen"
"1093","salmon"
"1094","cyan"
"1095","red"
"1096","salmon"
"1097","red"
"1098","blue"
"1099","turquoise"
"1100","purple"
"1101","pink"
"1102","tan"
"1103","blue"
"1104","green"
"1105","pink"
"1106","blue"
"1107","turquoise"
"1108","cyan"
"1109","turquoise"
"1110","turquoise"
"1111","brown"
"1112","brown"
"1113","turquoise"
"1114","brown"
"1115","royalblue"
"1116","pink"
"1117","green"
"1118","turquoise"
"1119","yellow"
"1120","cyan"
"1121","blue"
"1122","pink"
"1123","pink"
"1124","lightyellow"
"1125","turquoise"
"1126","blue"
"1127","purple"
"1128","grey60"
"1129","grey60"
"1130","black"
"1131","pink"
"1132","turquoise"
"1133","pink"
"1134","turquoise"
"1135","turquoise"
"1136","cyan"
"1137","grey60"
"1138","white"
"1139","magenta"
"1140","yellow"
"1141","midnightblue"
"1142","blue"
"1143","brown"
"1144","tan"
"1145","green"
"1146","yellow"
"1147","turquoise"
"1148","tan"
"1149","magenta"
"1150","red"
"1151","tan"
"1152","green"
"1153","turquoise"
"1154","turquoise"
"1155","brown"
"1156","black"
"1157","green"
"1158","darkturquoise"
"1159","turquoise"
"1160","black"
"1161","darkgreen"
"1162","green"
"1163","turquoise"
"1164","blue"
"1165","black"
"1166","cyan"
"1167","green"
"1168","blue"
"1169","turquoise"
"1170","blue"
"1171","darkturquoise"
"1172","cyan"
"1173","brown"
"1174","red"
"1175","midnightblue"
"1176","blue"
"1177","yellow"
"1178","yellow"
"1179","magenta"
"1180","turquoise"
"1181","turquoise"
"1182","blue"
"1183","salmon"
"1184","green"
"1185","orange"
"1186","yellow"
"1187","pink"
"1188","turquoise"
"1189","cyan"
"1190","black"
"1191","turquoise"
"1192","brown"
"1193","red"
"1194","blue"
"1195","brown"
"1196","blue"
"1197","pink"
"1198","brown"
"1199","yellow"
"1200","lightcyan"
"1201","turquoise"
"1202","tan"
"1203","green"
"1204","salmon"
"1205","turquoise"
"1206","red"
"1207","turquoise"
"1208","pink"
"1209","blue"
"1210","black"
"1211","purple"
"1212","red"
"1213","brown"
"1214","blue"
"1215","green"
"1216","blue"
"1217","black"
"1218","turquoise"
"1219","yellow"
"1220","green"
"1221","pink"
"1222","brown"
"1223","yellow"
"1224","turquoise"
"1225","green"
"1226","pink"
"1227","magenta"
"1228","blue"
"1229","magenta"
"1230","turquoise"
"1231","royalblue"
